PRINC_DIAG_CODE,Count,ICD-9,icd9cm_mult
K812,8651.0,57512,['57512']
K589,8649.0,5641,['5641']
R627,8649.0,7837,['7837']
O4403,8639.0,64103,['64101' '64103']
K5010,8596.0,5551,['5551']
C8589,8595.0,20280,['20280']
S32409A,8579.0,8080,['8080']
G4733,8564.0,32723,['32723']
R0602,8560.0,78605,['78605']
I69998,8552.0,43889,['4386' '4387' '43889']
R6251,8551.0,78341,['78341']
K8070,8533.0,57490,['57490']
I428,8533.0,4254,['4252' '4254']
M4620,8503.0,73028,['73028']
N9989,8491.0,9975,['9975']
S82009A,8484.0,8220,['8220']
K439,8443.0,55329,['55320' '55329']
M4120,8412.0,73730,['73730']
K9509,8384.0,53909,['53909']
K122,8376.0,6820,['52800' '5283' '6820']
S72456A,8368.0,82123,['82123']
A414,8362.0,99591,['0383' '99591']
N393,8350.0,78832,['6256' '78832']
I2789,8346.0,4168,['4168']
K632,8345.0,56981,['56981']
O0943,8270.0,V233,['65941' '65943' 'V233']
T8172XA,8267.0,99779,['9972' '99779']
K623,8265.0,5691,['5691']
D469,8242.0,23875,['23875']
S52509A,8238.0,81342,['81342']
Z421,8226.0,V510,['V510']
J939,8145.0,51289,['51289']
D631,8140.0,28521,['28521']
T8132XA,8137.0,99831,['99831']
G7001,8123.0,35801,['35801']
D353,7999.0,2273,['2273']
O9832,7951.0,64721,['64721']
I6330,7943.0,43401,['43401']
G40219,7928.0,34541,['34541']
A020,7915.0,0030,['0030']
I7101,7903.0,44101,['44101']
J9610,7877.0,51883,['51883']
S42216A,7853.0,81201,['81201']
H8113,7807.0,38611,['38611']
N7093,7769.0,6142,['6142']
E43,7769.0,262,['262']
K5100,7757.0,5566,['5566']
N801,7738.0,6171,['6171']
G9782,7724.0,99709,['3491' '99701' '99709']
G911,7720.0,3314,['3314']
N453,7714.0,60499,['60490' '60499']
O629,7692.0,66191,['66191']
O99810,7593.0,64883,['64881' '64883']
O339,7589.0,65393,['65391' '65393']
C50419,7566.0,1744,['1744']
F4321,7546.0,3091,['3090' '3091']
I5041,7540.0,42841,['4280' '42841']
D0590,7487.0,2330,['2330']
D638,7475.0,28529,['28529']
Q211,7433.0,7455,['7455']
K250,7393.0,53100,['53100']
F321,7383.0,29622,['29622']
K4090,7381.0,55090,['55090']
R269,7347.0,7812,['7812']
K37,7339.0,541,['541']
B3749,7326.0,1122,['1122']
F4312,7308.0,30981,['30981']
G935,7287.0,3484,['3484']
S06330A,7256.0,85181,['85181']
A412,7256.0,99591,['03810' '99591']
K838,7246.0,5768,['5768']
G931,7241.0,3481,['3481']
S52609A,7233.0,81343,['81343']
I309,7202.0,42099,['42090' '42099']
R791,7201.0,79092,['79092']
T8183XA,7190.0,9986,['9986']
J910,7179.0,51181,['51181']
P398,7160.0,77189,['77189']
N803,7157.0,6173,['6173']
R29898,7107.0,78199,['72989' '78199']
M549,7106.0,7245,['7245']
T85698A,7105.0,99659,['99659']
F3113,7074.0,29643,['29643']
L89309,7058.0,70720,['70705' '70720']
T40694A,7057.0,E9804,['96509' 'E9804']
K561,7045.0,5600,['5600']
B1921,7044.0,07071,['07071']
D696,7041.0,2875,['2875']
O10913,7028.0,64203,['64201' '64203']
R209,6971.0,7820,['7820']
I119,6949.0,40290,['40200' '40210' '40290']
K209,6926.0,53012,['53010' '53012']
A150,6911.0,01190,['01190']
C160,6908.0,1510,['1510']
O3413,6906.0,65414,['65411' '65412' '65413' '65414']
I6783,6903.0,34839,['34839']
N1330,6881.0,591,['591']
N8189,6878.0,61889,['6187' '61889']
N138,6855.0,5934,['5934']
K819,6835.0,57510,['57510']
I5032,6813.0,42832,['4280' '42832']
I0981,6811.0,39891,['39891']
K1120,6794.0,5272,['5272']
Z48815,6785.0,V5875,['V5875']
C712,6784.0,1912,['1912']
J810,6773.0,5184,['5184']
K2991,6707.0,53551,['53551']
S42209A,6705.0,81200,['81200']
M009,6649.0,71100,['71100']
G932,6621.0,3482,['3482']
J984,6601.0,51889,['51889']
D069,6600.0,2331,['2331']
B029,6587.0,0539,['0539']
P369,6561.0,77181,['77181']
K440,6557.0,5523,['5523']
K652,6534.0,56723,['56723']
M303,6488.0,4461,['4461']
F6381,6477.0,31235,['31234' '31235']
K863,6453.0,5772,['5772']
O471,6450.0,64413,['64413']
R1032,6447.0,78904,['78904']
M726,6446.0,72886,['72886']
J0390,6438.0,463,['463']
Z524,6433.0,V594,['V594']
S12101A,6430.0,80502,['80502']
G458,6430.0,4358,['4352' '4358']
R5600,6420.0,78031,['78031']
N939,6401.0,6269,['6269']
L89609,6356.0,70720,['70707' '70720']
G43109,6351.0,34600,['34600']
O26833,6344.0,64623,['64621' '64622' '64623']
S72109A,6326.0,82020,['82020']
S42296A,6308.0,81209,['81202' '81209']
I2692,6265.0,41513,['41513']
E162,6258.0,2512,['2512']
C678,6229.0,1888,['1888']
C221,6225.0,1551,['1551']
J852,6221.0,5130,['5130']
P221,6210.0,7706,['7706']
R401,6152.0,78009,['78009']
O631,6049.0,66221,['66221']
G43919,6032.0,34691,['34691']
Z483,6029.0,V5842,['V5842']
S060X0A,6004.0,8500,['8500']
K9589,6000.0,53989,['53989']
K750,5985.0,5720,['5720']
J948,5962.0,51189,['5110' '51189']
O8612,5933.0,67014,['67012' '67014']
J988,5919.0,5198,['5198']
S060X9A,5898.0,8505,['8505']
R188,5884.0,78959,['56882' '78959']
J390,5880.0,47824,['47822' '47824']
K660,5862.0,5680,['5680']
T8589XA,5845.0,99679,['99675' '99679']
N049,5837.0,5819,['5819']
S06360A,5837.0,85301,['85301']
K551,5832.0,5571,['5571']
M952,5831.0,73819,['73819']
O98813,5825.0,64783,['64781' '64783']
L97509,5775.0,70715,['70715']
J811,5762.0,514,['514']
O610,5758.0,65911,['65911']
K7689,5741.0,5738,['5718' '5738']
K8067,5739.0,57481,['57481']
R0902,5704.0,79902,['79902']
G3183,5687.0,33182,['33182']
E2740,5654.0,25541,['25541']
Z390,5650.0,V240,['V240']
K2950,5629.0,53510,['53510']
G061,5628.0,3241,['3241']
K766,5615.0,5723,['5723']
K269,5612.0,53290,['53290']
K6289,5611.0,56949,['56942' '56949']
C186,5600.0,1532,['1532']
G40119,5591.0,34581,['34551' '34571' '34581']
G500,5589.0,3501,['3501']
K9413,5579.0,56962,['56962']
P2889,5538.0,77089,['77089']
J150,5526.0,4820,['4820']
T8642,5522.0,99682,['99682']
L89209,5517.0,70720,['70704' '70720']
E46,5514.0,2639,['2638' '2639']
S0210XA,5512.0,80100,['80100']
K260,5496.0,53200,['53200']
G40802,5495.0,34580,['34580']
D630,5492.0,28522,['28522']
T4274XA,5483.0,E9804,['9663' '9679' 'E9804']
K8065,5451.0,57471,['57471']
S322XXA,5448.0,8056,['8056']
E039,5445.0,2449,['2449']
K2901,5425.0,53501,['53501']
F23,5422.0,2988,['2983' '2984' '2988']
O99354,5412.0,64681,['64681']
I724,5391.0,4423,['4423']
M84459A,5389.0,73314,['73314']
F446,5388.0,30011,['30011']
E8351,5375.0,27541,['27541']
K521,5324.0,5582,['5582']
O1403,5321.0,64243,['64241' '64242' '64243']
