PRINC_DIAG_CODE,Count,ICD-9,icd9cm_mult
O3473,1352.0,65484,['65481' '65482' '65483' '65484']
M533,1349.0,72479,['7246' '72470' '72479']
O228X3,1348.0,67183,['67181' '67183']
I514,1348.0,4290,['4290']
G5790,1340.0,3558,['3558']
S6710XA,1340.0,9273,['9273']
K113,1339.0,5273,['5273']
I8000,1333.0,4510,['4510']
L0103,1331.0,684,['684']
K4000,1329.0,55012,['55012']
M2669,1328.0,52469,['52460' '52469']
L97209,1324.0,70712,['70712']
C7919,1322.0,1981,['1981']
S8000XA,1321.0,92411,['92411']
F912,1320.0,31282,['31220' '31282']
R6520,1317.0,99592,['99592']
A46,1317.0,035,['035']
E11641,1316.0,25030,['25030']
I82819,1316.0,4536,['4536']
S42309A,1315.0,81220,['81220']
M4714,1311.0,72141,['72141']
T481X4A,1310.0,E9804,['9752' 'E9804']
F3010,1308.0,29600,['29600']
E1051,1306.0,44381,['25071' '44381']
S32309A,1306.0,80841,['80841']
N4829,1306.0,6072,['6072']
A89,1301.0,0499,['0499']
K8045,1298.0,57441,['57441']
C488,1298.0,1588,['1588']
D1779,1295.0,2148,['2148']
J342,1291.0,470,['470']
K6819,1290.0,56738,['56738']
M8708,1289.0,73349,['73349']
P278,1289.0,7707,['7707']
D150,1288.0,2126,['2126']
F430,1286.0,3089,['3089']
N3081,1285.0,59589,['5954' '59581' '59589']
O759,1283.0,66994,['65991' '66991' '66992' '66994']
F449,1282.0,30015,['30015']
I700,1279.0,4400,['4400']
L905,1277.0,7092,['7092']
R471,1275.0,78451,['78451']
N941,1271.0,6250,['6250']
T17398A,1267.0,E915,['9331' 'E915']
N72,1266.0,6160,['6160']
R1319,1265.0,78729,['78729']
I748,1264.0,44489,['44489']
G43D0,1262.0,34620,['34620']
M310,1261.0,44629,['44620' '44621' '44629']
D1771,1260.0,2143,['2143']
H8109,1260.0,38604,['38600' '38601' '38602' '38603' '38604']
B59,1258.0,1363,['1363']
Q612,1257.0,75313,['75313']
A752,1255.0,0810,['0810']
M12559,1255.0,71615,['71615']
E881,1253.0,2726,['2726']
C495,1253.0,1716,['1716']
C7A1,1252.0,20930,['20930']
F3341,1248.0,29635,['29635']
E0520,1248.0,24230,['24220' '24230']
C800,1246.0,1990,['1990']
N924,1242.0,6270,['6270']
S83249A,1241.0,8360,['8360']
M5105,1240.0,72272,['72272']
D494,1239.0,2394,['2394']
O719,1239.0,66594,['66591' '66592' '66594']
T50Z95A,1238.0,E9499,['99529' 'E9499']
S82209C,1238.0,82390,['82330' '82390']
P002,1235.0,7602,['7602']
K868,1231.0,5778,['5778']
D1809,1229.0,22809,['22809']
C8199,1226.0,20190,['20190']
D497,1226.0,2397,['2397']
E8809,1224.0,2738,['2738']
M60009,1221.0,7280,['04081' '7280']
I675,1221.0,4375,['4375']
B0239,1217.0,05329,['05320' '05329']
O99285,1210.0,64894,['64894']
O630,1207.0,66201,['66201']
T420X4A,1205.0,E9804,['9661' 'E9804']
D841,1203.0,2798,['2776' '2798']
O731,1203.0,66714,['66710' '66712' '66714']
S02600A,1202.0,80228,['80228']
S0266XB,1202.0,80236,['80236']
I82B19,1199.0,45385,['45385']
K745,1199.0,5716,['5716']
L988,1197.0,7098,['7098']
B09,1196.0,0579,['0578' '0579']
R748,1193.0,7905,['7905']
G950,1191.0,3360,['3360']
N110,1189.0,59001,['59000' '59001']
I708,1188.0,4408,['4408']
K253,1187.0,53130,['53130']
Q438,1186.0,7515,['7515']
J328,1184.0,4738,['4738']
N19,1183.0,586,['586']
K458,1180.0,5538,['5538']
O351XX0,1180.0,65513,['65511' '65513']
I669,1180.0,43490,['43410' '43490']
N819,1179.0,6189,['61800' '6189']
P7889,1178.0,7778,['7778']
Q038,1176.0,7423,['7423']
N7003,1176.0,6140,['6140']
C411,1175.0,1701,['1701']
D495,1173.0,2395,['2395']
T403X4A,1172.0,E9800,['96502' 'E9800']
K1379,1171.0,5289,['5289']
C8582,1169.0,20282,['20282']
S36030A,1169.0,86502,['86502']
P598,1167.0,7745,['77430' '7745']
K5130,1167.0,5563,['5563']
S0269XA,1166.0,80220,['80220']
S68529A,1165.0,8850,['8850']
D7289,1164.0,2888,['2888']
C7982,1156.0,19882,['19882']
K1230,1155.0,52800,['52800']
S72446A,1151.0,82122,['82122']
G379,1151.0,3419,['3419']
J942,1147.0,51189,['5111' '51189']
E878,1147.0,2769,['2769']
K7010,1141.0,5711,['5711']
B159,1139.0,0701,['0701']
C229,1137.0,1552,['1552']
G800,1135.0,3432,['3432']
O898,1135.0,66884,['66882' '66884']
A9231,1133.0,06641,['06641']
T185XXA,1133.0,E915,['937' 'E915']
C671,1132.0,1881,['1881']
A481,1131.0,48284,['48284']
C50319,1126.0,1743,['1743']
C714,1126.0,1914,['1914']
L0889,1125.0,6868,['68609' '6868']
K522,1125.0,78791,['5583' '78791']
D334,1123.0,2253,['2253']
C670,1123.0,1880,['1880']
G8250,1123.0,34409,['34400' '34409']
N358,1121.0,5988,['5988']
I7771,1117.0,44321,['44321']
J1189,1115.0,4878,['4878']
C773,1113.0,1963,['1963']
O4393,1113.0,65673,['65671' '65673']
Q203,1112.0,74519,['74510' '74519']
C021,1112.0,1412,['1412']
C410,1107.0,1700,['1700']
M24669,1106.0,71856,['71856']
C9251,1106.0,20501,['20501']
S56929A,1104.0,88120,['88120']
N870,1100.0,62211,['62211']
Q791,1100.0,7566,['7566']
O624,1097.0,66141,['66141']
E0591,1096.0,24291,['24291']
M6580,1093.0,72709,['72701' '72709']
D135,1093.0,2115,['2115']
B999,1088.0,1369,['1369']
O0339,1088.0,63471,['63471']
T438X4A,1083.0,E9803,['9698' 'E9803']
K4091,1082.0,55091,['55091']
N23,1082.0,7880,['7880']
N719,1082.0,6159,['6159']
K251,1082.0,53110,['53110']
O6010X0,1082.0,64420,['64420']
Z428,1080.0,V518,['V518']
M87029,1080.0,73341,['73341']
J1520,1080.0,48240,['48240']
C675,1079.0,1885,['1885']
D6862,1073.0,28981,['28981']
O8823,1072.0,67324,['67322' '67324']
I6509,1071.0,43320,['43320']
N821,1069.0,6190,['6190']
S020XXB,1067.0,80050,['80050']
N4830,1066.0,6073,['6073']
S069X0A,1065.0,85401,['85401']
I774,1064.0,4474,['4474']
K389,1062.0,5439,['5439']
N529,1061.0,60784,['60784']
C50019,1058.0,1740,['1740']
J9502,1058.0,51901,['51901']
O717,1055.0,66574,['66451' '66454' '66571' '66572' '66574']
E7229,1054.0,2706,['2706']
T43591A,1053.0,E8548,['9693' 'E8548']
C490,1047.0,1710,['1710']
S0262XA,1046.0,80222,['80222']
P282,1046.0,77083,['77083']
E858,1043.0,27739,['27739']
G6281,1042.0,35782,['35782']
I501,1041.0,4281,['4281']
S14104A,1041.0,95200,['95200']
B699,1041.0,1231,['1231']
C781,1040.0,1971,['1971']
C414,1040.0,1706,['1706']
S3282XA,1038.0,80844,['80844']
S06380A,1034.0,85161,['85141' '85161']
G589,1034.0,3559,['3559']
S064X9A,1033.0,85246,['85246']
T797XXA,1033.0,9587,['9587']
O871,1032.0,67144,['67142' '67144']
N189,1032.0,5859,['5859']
N805,1031.0,6175,['6175']
L0391,1030.0,6829,['6829']
C158,1030.0,1508,['1508']
B974,1029.0,0796,['0796']
T43014A,1028.0,E9803,['96905' 'E9803']
J0140,1028.0,4618,['4618']
C778,1025.0,1968,['1968']
K624,1024.0,5692,['5692']
L88,1023.0,68601,['68601']
J679,1023.0,4959,['4959']
E538,1023.0,2662,['2662']
F320,1022.0,29621,['29621']
N8501,1020.0,62134,['62131' '62134']
Z481,1020.0,V5841,['V5841']
D61811,1018.0,28412,['28412']
D684,1018.0,2867,['2867']
M25069,1017.0,71916,['71916']
K593,1015.0,5647,['5647']
O694XX0,1014.0,66351,['66351']
Q262,1012.0,74741,['74741']
K910,1011.0,5643,['5643']
T7840XA,1011.0,9953,['9953']
R630,1010.0,7830,['7830']
K261,1010.0,53210,['53210']
C7B8,1007.0,20979,['20979']
O219,1003.0,64393,['64393']
C8331,1002.0,20071,['20001' '20071']
K654,1001.0,56782,['56782']
R338,999.0,78829,['78829']
D492,999.0,2392,['2392']
J4520,997.0,49310,['49300' '49310']
P391,996.0,7716,['7716']
M5090,994.0,72291,['72291']
T426X1A,993.0,E8588,['9663' '9678' 'E8528' 'E8588']
G001,993.0,3201,['3201']
I7774,990.0,44324,['44324']
I311,988.0,4232,['4232']
Q892,986.0,7592,['7592']
T17598A,983.0,E915,['9341' 'E915']
D47Z9,980.0,23879,['23879']
D580,980.0,2820,['2820']
R7989,978.0,79099,['7906' '79099']
O659,978.0,66021,['65491' '66021']
S1190XA,977.0,8748,['8748']
Q172,974.0,74423,['74423']
Q221,971.0,74602,['74602']
N059,971.0,5839,['5830' '5834' '5839']
C154,970.0,1504,['1501' '1504']
B459,969.0,1175,['1175']
E279,968.0,2559,['2559']
M130,967.0,71650,['71650']
F42,966.0,3003,['3003']
M21969,964.0,73689,['73670' '73689']
P926,963.0,77934,['77934']
Z462,961.0,V5309,['V5309']
A880,961.0,048,['048']
T43624A,960.0,E9803,['96972' 'E9803']
O9812,960.0,64701,['64701']
Z765,956.0,V652,['V652']
C493,953.0,1714,['1714']
O99113,952.0,64933,['64931' '64933']
K5901,950.0,56401,['56401']
G4730,948.0,78057,['32720' '78051' '78053' '78057']
G620,947.0,3576,['3576']
D181,947.0,2281,['2281']
C179,945.0,1529,['1529']
S37039A,944.0,86602,['86602']
G9589,941.0,3368,['3368']
H4900,939.0,37852,['37851' '37852']
N3021,939.0,5952,['5952']
O209,938.0,64093,['64093']
C37,937.0,1640,['1640']
Q613,935.0,75312,['75312']
I80209,934.0,45119,['45119']
P258,934.0,7702,['7702']
Q230,932.0,7463,['7463']
N751,930.0,6163,['6163']
I2782,926.0,4162,['4162']
P239,926.0,7700,['7700']
I83209,926.0,4542,['4542']
S27809A,925.0,8620,['8620']
A3700,923.0,0330,['0330']
I38,922.0,42499,['42490' '42499']
R578,919.0,78559,['78559']
S51809A,918.0,88100,['88100']
M86269,918.0,73006,['73006']
K621,917.0,5690,['5690']
T801XXA,917.0,9992,['9992']
Z472,915.0,V5401,['V5401']
I82C19,914.0,45386,['45386']
N838,914.0,6208,['6206' '6208']
T07,914.0,9598,['9598']
C109,911.0,1469,['1469']
S36029A,911.0,86501,['86501']
S36114A,909.0,86402,['86402']
S82009C,908.0,8221,['8221']
S5290XA,907.0,81380,['81380']
R634,905.0,78321,['78321']
R4789,904.0,V414,['78459' 'V414']
R161,904.0,7892,['7892']
D480,902.0,2380,['2380']
C7A012,902.0,20903,['20903']
C412,902.0,1702,['1702']
C52,899.0,1840,['1840']
D1339,899.0,2112,['2112']
G43009,899.0,34610,['34610']
M792,899.0,7292,['7292']
O3111X0,898.0,65163,['65131' '65133' '65161' '65163']
Q204,897.0,7453,['7453']
S21109A,895.0,8750,['8750']
F911,894.0,31281,['31200' '31281']
E890,891.0,2441,['2440' '2441']
D1803,888.0,22804,['22804']
Q870,887.0,7560,['75555' '7560']
B085,886.0,0740,['0740']
K900,886.0,5790,['5790']
B199,886.0,0709,['0709']
K1239,884.0,52809,['52809']
F4324,883.0,3093,['3093']
A040,882.0,00801,['00801']
R451,878.0,3079,['3079']
D164,875.0,2130,['2130']
M24419,873.0,71831,['71831']
O468X3,872.0,64183,['64181' '64183']
M40209,871.0,73710,['73710']
C792,871.0,1982,['1982']
R159,869.0,78760,['78760']
M546,866.0,7241,['7241']
I491,866.0,42761,['42761']
H538,863.0,3688,['3688']
S14124A,863.0,95203,['95203']
J986,860.0,5194,['5194']
G9519,860.0,3361,['3361']
A072,858.0,0074,['0074']
E236,857.0,2538,['2538']
D473,855.0,23871,['23871']
M2603,854.0,52402,['52402']
D510,854.0,2810,['2810']
S34129A,849.0,9522,['9522']
A523,847.0,0949,['0949']
I83029,847.0,4540,['4540']
I720,846.0,44281,['44281']
J351,846.0,47411,['47411']
B000,845.0,0540,['0540']
B1710,844.0,07051,['07051']
G608,844.0,3568,['3568']
K6381,843.0,56986,['56986']
K911,841.0,5642,['5642']
S61409A,841.0,8820,['8820']
N808,839.0,6178,['6178']
E8029,839.0,2771,['2771']
M2601,837.0,52401,['52401']
Z529,834.0,V599,['V599']
F848,833.0,29981,['29980' '29981']
I82221,833.0,4532,['4532']
C210,831.0,1543,['1543']
S280XXA,830.0,92619,['92619']
I803,830.0,4512,['4512']
Z302,829.0,V252,['V252']
S6720XA,829.0,92720,['92720']
S12301A,829.0,80504,['80504']
D201,828.0,2118,['2118']
Z0289,826.0,V705,['V6889' 'V703' 'V705']
C7A098,824.0,20929,['20929']
T8549XA,823.0,99654,['99654']
N022,822.0,5811,['5811']
I770,821.0,4470,['4470']
S129XXA,821.0,80500,['80500']
K5711,821.0,56202,['56202']
K285,821.0,53450,['53450']
S24104A,819.0,95215,['95215']
B019,819.0,0529,['0529']
T2161XA,817.0,94222,['94221' '94222']
M5382,816.0,7238,['7238']
J1529,816.0,48249,['48249']
J387,816.0,47879,['47871' '47879']
I088,815.0,3979,['3968' '3979']
K31819,815.0,53782,['53782']
O361930,814.0,65623,['65621' '65623']
C709,813.0,1921,['1921']
G43711,813.0,34673,['34673']
L0592,807.0,6851,['6851']
L408,805.0,6961,['6961']
Q180,805.0,74442,['74441' '74442']
E849,803.0,27700,['27700']
S06362A,802.0,85302,['85302']
N3011,802.0,5951,['5951']
I308,801.0,42099,['42099']
S43016A,800.0,83101,['83101']
M5185,800.0,72292,['72292']
F4322,800.0,30924,['30924']
G43709,800.0,34670,['34670']
N2589,799.0,58889,['58889']
O0882,797.0,6390,['6390']
C8409,796.0,20210,['20210']
O678,794.0,64181,['64181']
I401,793.0,42291,['42291']
T5894XA,793.0,E9821,['986' 'E9821']
F3131,791.0,29651,['29651']
E781,789.0,2721,['2721']
M278,788.0,52689,['52681' '52689']
N481,788.0,6071,['6071']
C762,787.0,1952,['1952']
S0261XA,785.0,80221,['80221']
D214,785.0,2155,['2155']
S0530XA,784.0,8710,['8710']
L509,780.0,7089,['7089']
E282,780.0,2564,['2564']
O669,779.0,66091,['66091']
M0800,778.0,71430,['71430']
R061,777.0,7861,['7861']
F99,777.0,3009,['3009']
A033,776.0,0043,['0043']
Q394,776.0,7503,['7503']
C715,775.0,1915,['1915']
C7960,775.0,1986,['1986']
P701,775.0,7750,['7750']
S73199A,774.0,8438,['8438']
K563,774.0,56031,['56031']
G603,772.0,3564,['3564']
K9089,770.0,5798,['5798']
S52279A,770.0,81303,['81303']
R143,768.0,7873,['7873']
J95851,765.0,99731,['99731']
Q6689,764.0,75567,['75470' '75479' '75566' '75567']
P2911,761.0,77982,['77982']
L519,761.0,69510,['69510']
Z043,761.0,V714,['V714']
R9439,761.0,79439,['79439']
Z4002,760.0,V5042,['V5042']
T2069XA,760.0,94129,['94129']
D45,759.0,2384,['20710' '20711' '20712' '2384']
O3463,759.0,65474,['65471' '65472' '65473' '65474']
G210,759.0,33392,['33392']
Z01818,755.0,V7284,['V7283' 'V7284']
C763,754.0,1953,['1953']
N472,749.0,605,['605']
A483,746.0,04082,['04082']
T2060XA,746.0,94120,['94120']
S92009B,745.0,8251,['8251']
M948X9,744.0,73399,['73399']
S8780XA,743.0,92810,['92810']
T8089XA,743.0,99989,['99988' '99989']
I69920,736.0,43811,['43811']
K280,735.0,53400,['53400']
N651,735.0,6121,['6121']
Z434,734.0,V554,['V554']
Q048,734.0,7424,['7424']
C499,734.0,1719,['1719']
K9581,733.0,53981,['53981']
A312,732.0,0312,['0312']
I82890,732.0,45389,['45389']
S73006A,730.0,83500,['83500']
T86899,730.0,99689,['99686' '99689']
M2010,730.0,7350,['7271' '7350']
C4910,729.0,1712,['1712']
I4430,729.0,42650,['42610' '42650']
K5520,728.0,56984,['56984']
C9001,726.0,20301,['20301']
S82839A,725.0,82301,['82301']
N323,725.0,5963,['5963']
Z3400,724.0,V220,['V220']
I312,724.0,4230,['4230']
C8319,723.0,20040,['20040']
D010,723.0,2303,['2303']
L919,722.0,7019,['7019']
E2749,722.0,25542,['25541' '25542']
C8299,722.0,20200,['20200']
E889,721.0,2779,['2779']
C4442,720.0,17342,['17342']
M6250,720.0,7282,['7282']
M0510,720.0,71481,['71481']
O359XX0,720.0,65593,['65591' '65593']
C673,719.0,1883,['1883']
M4800,717.0,72400,['72400']
I447,716.0,4263,['4263']
S61209A,716.0,8830,['8830']
M19079,715.0,71517,['71517']
C775,715.0,1966,['1966']
Z48816,715.0,V5876,['V5876']
O99213,714.0,64913,['64911' '64913']
C880,714.0,2733,['2733']
P0089,711.0,7608,['7608']
R945,707.0,7948,['7948']
G111,706.0,3343,['3340' '3343']
B0089,705.0,05479,['0546' '05479']
C140,704.0,1490,['1490']
Q244,704.0,74681,['74681']
N412,703.0,6012,['6012']
C7970,703.0,1987,['1987']
Q419,702.0,7511,['7511']
C165,702.0,1515,['1515']
N858,702.0,6218,['6218']
J322,701.0,4732,['4732']
M2350,701.0,71886,['71785' '71886']
K263,700.0,53230,['53230']
J84116,699.0,51636,['51636']
I455,699.0,4266,['4266']
G43D1,698.0,34621,['34621']
S33101A,698.0,83920,['83920']
A799,697.0,0839,['0839']
T79A29A,697.0,95892,['95892']
O1093,697.0,64204,['64204']
A029,696.0,0039,['0039']
G5600,695.0,3540,['3540']
O611,693.0,65901,['65901']
D518,693.0,2811,['2811']
S31000A,693.0,8796,['8760' '8796']
C9030,692.0,20380,['20380']
J120,691.0,4800,['4800']
M5408,691.0,7248,['7248']
S3981XA,691.0,95912,['95912']
P808,690.0,7783,['7783']
I241,690.0,4110,['4110']
M8560,690.0,73329,['73329']
J680,688.0,5060,['5060']
J3503,688.0,47402,['47402']
R2991,686.0,78199,['78199']
I7100,686.0,44100,['44100']
E230,686.0,6281,['2532' '2533' '6281']
N8112,685.0,61802,['61802']
C253,685.0,1573,['1573']
R740,683.0,7904,['7904']
P389,683.0,7714,['7714']
G43119,683.0,34601,['34601']
T7602XA,680.0,99552,['99552']
C7B02,679.0,20972,['20972']
D0372,679.0,1727,['1727']
C8318,679.0,20048,['20048']
O2653,679.0,66924,['66921' '66922' '66923' '66924']
F509,678.0,30750,['30750']
S0102XA,678.0,8731,['8731']
P293,677.0,74783,['74783']
Q220,676.0,74601,['74601']
F0281,676.0,29411,['29411']
S39011A,676.0,8488,['8488']
J3802,675.0,47834,['47833' '47834']
G062,675.0,3249,['3249']
E212,675.0,25208,['25208']
B009,673.0,0549,['0548' '0549']
C172,673.0,1522,['1522']
K266,673.0,53260,['53260']
T719XXA,673.0,E9139,['9947' 'E9139']
S91309A,673.0,8920,['8920']
D4120,670.0,23691,['23691']
I711,668.0,4411,['4411']
Q780,668.0,75651,['75651']
C383,666.0,1649,['1649']
D593,665.0,28311,['28311']
H4920,665.0,37854,['37854']
K257,665.0,53170,['53170']
O26843,665.0,64964,['64961' '64962' '64963' '64964']
S14107A,664.0,95205,['95205']
I8500,662.0,4561,['4561']
C328,662.0,1618,['1618']
C609,661.0,1874,['1874']
S36112A,661.0,86401,['86401']
F459,661.0,3069,['30082' '3069']
C060,661.0,1450,['1450']
S06368A,660.0,85305,['85305']
I780,659.0,4480,['4480']
S0265XB,658.0,80235,['80235']
S82832B,653.0,82311,['82311']
J42,652.0,4919,['4919']
I7789,652.0,4478,['4478']
I677,651.0,4374,['4374']
M150,651.0,71509,['71509']
I651,649.0,43300,['43300']
N171,649.0,5846,['5836' '5846']
D65,649.0,2866,['2866']
G3109,647.0,33119,['33119']
O365990,645.0,65650,['65650']
M47814,645.0,7212,['7212']
I409,644.0,42290,['42290']
N421,642.0,6021,['6021']
N63,642.0,61172,['61172']
J384,640.0,4786,['4786']
G43719,640.0,34671,['34671']
N433,640.0,6039,['6039']
T859XXA,638.0,99670,['99670']
C310,638.0,1602,['1602']
T405X4A,637.0,E9804,['97081' 'E9804']
O754,637.0,66944,['66941' '66942' '66944']
I7300,636.0,4430,['4430']
H6020,635.0,38014,['38014']
O3660X0,634.0,65660,['65660']
Q644,634.0,7537,['7537']
C153,634.0,1503,['1500' '1503']
C9590,631.0,20890,['20820' '20880' '20890']
E079,631.0,2469,['2469']
I8010,631.0,45111,['45111']
B084,630.0,0743,['0743']
S0510XA,629.0,9213,['9212' '9213']
J383,628.0,4785,['4785']
I4581,626.0,42682,['42682']
F918,624.0,31289,['31210' '31289']
O218,624.0,64383,['64383']
J698,624.0,5078,['5078']
N981,623.0,99799,['2561' '99799']
I452,622.0,42653,['42651' '42652' '42653']
M84469A,622.0,73316,['73316']
N99511,621.0,59681,['59681']
N008,620.0,58089,['58089']
R0489,619.0,78639,['78639']
J385,619.0,47875,['47875']
G600,619.0,3562,['3560' '3561' '3562']
D3A090,619.0,20961,['20961']
N926,619.0,6269,['6264' '6269']
P9162,617.0,76872,['76872']
D165,617.0,2131,['2131']
L128,616.0,6945,['6945']
D381,615.0,2357,['2357']
A071,615.0,0071,['0071']
S31109A,615.0,8794,['8794']
C031,614.0,1431,['1431']
T401X4A,613.0,E9800,['96501' 'E9800']
C161,613.0,1513,['1513']
N184,612.0,5854,['5854']
G90529,612.0,33722,['33722']
I5189,610.0,42989,['42981' '42982' '42989']
F28,610.0,2989,['2989']
I150,609.0,40591,['40501' '40511' '40591']
G2401,609.0,33385,['33385']
D471,609.0,23879,['23876' '23879']
E108,609.0,25091,['25091']
P84,607.0,77581,['7689' '77088' '77581']
S06389A,607.0,85166,['85146' '85166']
R233,607.0,7827,['7827']
S99919A,607.0,9597,['9597']
S12201A,604.0,80503,['80503']
C381,604.0,1642,['1642']
T189XXA,603.0,E915,['938' 'E915']
Z5181,603.0,V5883,['V5883']
P9209,602.0,77933,['77933']
Q019,602.0,7420,['7420']
Q229,602.0,7461,['7461']
K91850,599.0,56971,['56971']
A5211,599.0,0940,['0940']
S01501A,599.0,87343,['87343']
D491,599.0,2391,['2391']
T2163XA,599.0,94224,['94224']
I82619,597.0,45381,['45381']
J84114,594.0,51633,['51633']
S82409A,593.0,82381,['82321' '82381']
F324,592.0,29625,['29625']
C249,590.0,1569,['1569']
T7809XA,589.0,99569,['99569']
J989,589.0,5199,['5199']
Q858,588.0,7596,['7596']
F502,587.0,30751,['30751']
M84359A,586.0,73396,['73396']
R230,586.0,7825,['7825']
D282,585.0,2210,['2210']
G801,584.0,3430,['3430']
A082,584.0,00862,['00862']
N508,582.0,60889,['60884' '60885' '60886' '60889']
S32059D,581.0,V5417,['V5417']
C171,581.0,1521,['1521']
T50991A,579.0,E8588,['9799' 'E8588']
M5135,579.0,72251,['72251']
S2691XA,578.0,86101,['86101']
C8389,577.0,20080,['20030' '20050' '20080']
I722,574.0,4421,['4421']
D447,573.0,2373,['2373']
R062,573.0,78607,['78607']
S3140XA,573.0,8786,['8784' '8786']
S01512A,572.0,87360,['87360']
G43011,572.0,34613,['34613']
C028,572.0,1418,['1418']
D6941,571.0,28732,['28732']
T8182XA,570.0,99881,['99881']
N211,570.0,5942,['5942']
M300,570.0,4460,['4460']
I400,570.0,42292,['42291' '42292']
M7120,570.0,72751,['72751']
G518,570.0,3518,['3518']
I078,569.0,3970,['3970']
N360,568.0,5991,['5991']
B181,567.0,07032,['07032']
K761,567.0,5738,['5730' '5738']
Q447,566.0,75169,['75160' '75169']
Q254,564.0,74729,['74720' '74721' '74729']
N6481,563.0,61181,['61181']
R413,563.0,78093,['78093']
G10,563.0,3334,['3334']
Z526,563.0,V596,['V596']
S27339A,562.0,86122,['86122']
D166,562.0,2132,['2132']
S31125A,561.0,8793,['8793']
T8133XA,561.0,99833,['99833']
C119,560.0,1479,['1479']
S92109B,560.0,82531,['82531']
C211,560.0,1542,['1542']
I422,559.0,42518,['42518']
S066X5A,559.0,85204,['85204']
C300,559.0,1600,['1600']
Z452,558.0,V5881,['V5881']
G43801,558.0,34682,['34622' '34682']
E8339,557.0,2753,['2753']
E278,556.0,2558,['2558']
Z370,556.0,V270,['V270']
G43001,554.0,34612,['34612']
A281,554.0,0783,['0783']
S0291XA,553.0,80300,['80300']
C049,552.0,1449,['1449']
K915,552.0,5760,['5760']
I519,551.0,4299,['4299']
R092,551.0,7991,['7991']
G43111,551.0,34603,['34603']
C9112,550.0,20412,['20412']
Q619,550.0,75310,['75310']
I339,550.0,4219,['4219']
L982,549.0,69589,['69589']
H44009,549.0,36003,['36000' '36001' '36003']
O99844,549.0,64921,['64921']
S42295A,548.0,81209,['81202' '81209']
S82401A,548.0,82381,['82321' '82381']
S39840A,548.0,95913,['95913']
T754XXA,548.0,9948,['9948']
J0120,547.0,4612,['4612']
C8585,547.0,20285,['20285']
T781XXA,547.0,9957,['9889' '9957']
F3111,547.0,29641,['29641']
C139,546.0,1489,['1489']
T17898A,546.0,E912,['9348' 'E912']
T510X4A,546.0,E9809,['9800' 'E9809']
C680,546.0,1893,['1893']
C8293,546.0,20203,['20203']
D287,546.0,2218,['2218']
M2550,546.0,71940,['71940']
E8881,545.0,2777,['2777']
N003,545.0,5800,['5800']
S93499A,545.0,84509,['84509']
M459,544.0,7200,['7200']
I679,544.0,4379,['4379']
C8379,543.0,20020,['20020']
B373,541.0,1121,['1121']
B9689,541.0,04189,['04189']
F418,541.0,30009,['30009']
S3289XA,541.0,80849,['80849']
I378,539.0,4243,['4243']
K044,539.0,5224,['5224']
B0221,538.0,05311,['05311']
Z09,537.0,V679,['V6700' 'V6709' 'V671' 'V672' 'V673' 'V674' 'V6751' 'V6759' 'V676' 'V679']
S37009A,537.0,86600,['86600']
Q443,536.0,75161,['75161']
O2213,536.0,67114,['67111' '67112' '67113' '67114']
A420,536.0,0391,['0391']
K9501,535.0,53901,['53901']
F09,534.0,3109,['3109']
M249,534.0,71890,['71890']
O0387,534.0,63402,['63400' '63402']
O036,533.0,63412,['63410' '63412']
E441,533.0,2631,['2631']
K738,532.0,57149,['57149']
P378,532.0,7712,['7712']
S3630XA,531.0,8630,['8630']
N13722,530.0,59372,['59372']
B9561,529.0,04111,['04111']
S022XXB,528.0,8021,['8021']
G2402,528.0,33372,['33372']
J0430,527.0,46450,['46450']
E1139,526.0,25050,['25050']
D721,526.0,2883,['2883']
K200,526.0,53013,['53013']
D090,525.0,2337,['2337']
C164,525.0,1511,['1511']
A389,523.0,0341,['0341']
G723,522.0,3593,['3593']
S36503A,521.0,86344,['86344']
C7839,521.0,1973,['1973']
I82609,521.0,45383,['45383']
M519,520.0,72290,['72290']
O046,520.0,63512,['63512']
G809,520.0,3439,['3439']
R160,520.0,7891,['7891']
I479,519.0,4272,['4272']
Q052,519.0,74103,['74103']
C44329,519.0,17332,['17332']
Q330,518.0,7484,['7484']
C721,518.0,1922,['1922']
G5630,518.0,3543,['3543']
P027,518.0,7627,['7627']
P718,517.0,7754,['7754']
J985,516.0,5193,['5192' '5193']
T423X4A,516.0,E9801,['9670' 'E9801']
B021,516.0,0530,['0530']
D1430,516.0,2123,['2123']
S06337A,515.0,85185,['85185']
Z4009,515.0,V5049,['V5049']
S36501A,514.0,86342,['86342']
G988,514.0,3499,['34989' '3499']
E0580,514.0,24280,['24280']
R7309,513.0,79029,['79029']
T17998A,513.0,E915,['9349' 'E915']
T6594XA,513.0,E9809,['9899' 'E9809']
S02600B,512.0,80238,['80238']
Q0703,512.0,74100,['74100']
C92Z0,512.0,20580,['20580']
M8438XA,511.0,73395,['73395']
I208,511.0,4139,['4139']
M950,511.0,7380,['7380']
Q200,509.0,7450,['7450']
D680,509.0,2864,['2864']
C8191,508.0,20191,['20191']
O139,508.0,64230,['64230']
Q898,507.0,75989,['75989']
C8198,507.0,20198,['20198']
O208,506.0,64083,['64083']
L109,505.0,6944,['6944']
N857,505.0,6214,['6214']
C676,503.0,1886,['1886']
T673XXA,502.0,9923,['9923']
E8419,501.0,27703,['27703']
O418X30,501.0,65883,['65881' '65883']
A9232,501.0,06642,['06642']
